zip,state,city,lat,lng
98001,WA,Algona,47.316339,-122.270057
98002,WA,Auburn,47.30503,-122.206741
98003,WA,Federal Way,47.3203,-122.311726
98004,WA,Beaux Arts,47.619899,-122.207371
98005,WA,Bellevue,47.614961,-122.166288
98006,WA,Bellevue,47.561425,-122.155179
98007,WA,Bellevue,47.617443,-122.142572
98008,WA,Bellevue,47.611468,-122.116173
98010,WA,Black Diamond,47.311372,-122.005265
98011,WA,Bothell,47.749692,-122.2159
98012,WA,Mill Creek,47.848941,-122.206981
98014,WA,Carnation,47.638007,-121.911095
98019,WA,Duvall,47.724987,-121.936906
98020,WA,Woodway,47.800693,-122.366949
98021,WA,Bothell,47.791806,-122.224339
98022,WA,Enumclaw,47.266545,-122.031429
98023,WA,Federal Way,47.310358,-122.36123
98024,WA,Fall City,47.568233,-121.889646
98026,WA,Edmonds,47.823324,-122.334463
98027,WA,Issaquah,47.550911,-122.033517
98031,WA,Kent,47.388004,-122.193184
98032,WA,Kent,47.377633,-122.285362
98033,WA,Kirkland,47.678597,-122.189442
98034,WA,Kirkland,47.718777,-122.196571
98036,WA,Brier,47.811825,-122.287789
98037,WA,Lynnwood,47.850532,-122.282139
98038,WA,Maple Valley,47.384526,-122.057413
98040,WA,Mercer Island,47.563149,-122.226562
98042,WA,Kent,47.368044,-122.120615
98043,WA,Mountlake Terrac,47.793061,-122.304036
98045,WA,North Bend,47.475546,-121.757142
98047,WA,Pacific,47.266605,-122.243481
98051,WA,Ravensdale,47.415476,-121.987897
98052,WA,Redmond,47.671796,-122.123242
98053,WA,Redmond,47.646238,-122.038578
98055,WA,Renton,47.464759,-122.207484
98056,WA,Renton,47.507336,-122.181942
98058,WA,Renton,47.446507,-122.121586
98059,WA,Renton,47.467383,-122.151178
98065,WA,Snoqualmie,47.529286,-121.822533
98070,WA,Vashon,47.425949,-122.464415
98072,WA,Woodinville,47.768384,-122.127087
98101,WA,Seattle,47.611435,-122.330456
98102,WA,Seattle,47.63025,-122.320993
98103,WA,Seattle,47.67335,-122.342621
98104,WA,Seattle,47.603631,-122.325644
98105,WA,Seattle,47.663266,-122.302236
98106,WA,Seattle,47.534362,-122.354688
98107,WA,Seattle,47.67012,-122.37626
98108,WA,Tukwila,47.547448,-122.306823
98109,WA,Seattle,47.633875,-122.347615
98110,WA,Bainbridge Islan,47.645048,-122.531297
98112,WA,Seattle,47.630115,-122.297157
98115,WA,Seattle,47.684918,-122.296828
98116,WA,Seattle,47.574591,-122.393445
98117,WA,Seattle,47.687263,-122.377223
98118,WA,Seattle,47.541234,-122.275021
98119,WA,Seattle,47.637917,-122.364272
98121,WA,Seattle,47.615135,-122.344696
98122,WA,Seattle,47.611633,-122.305608
98125,WA,Seattle,47.717002,-122.301546
98126,WA,Seattle,47.544361,-122.373458
98133,WA,Seattle,47.737717,-122.343132
98134,WA,Seattle,47.590276,-122.326346
98136,WA,Seattle,47.539769,-122.387768
98144,WA,Seattle,47.584624,-122.300457
98146,WA,Burien,47.501069,-122.353989
98148,WA,Normandy Park,47.450209,-122.326112
98155,WA,Lk Forest Park,47.758161,-122.296305
98158,WA,Seatac,47.442739,-122.318454
98166,WA,Normandy Park,47.455052,-122.347392
98168,WA,Tukwila,47.48851,-122.302376
98177,WA,Seattle,47.746678,-122.368585
98178,WA,Tukwila,47.499489,-122.247366
